"Year";"Month";"Station";"n"
"112";"2011";6;"BY31";2
"113";"2011";6;"BY5";1
"114";"2011";7;"BY15";1
"115";"2011";7;"BY31";2
"116";"2011";7;"BY5";1
"117";"2011";8;"BY15";1
"118";"2011";8;"BY31";2
"119";"2011";8;"BY5";1
"120";"2011";9;"BY15";1
"121";"2011";9;"BY31";2
"122";"2011";10;"BY15";1
"123";"2011";10;"BY31";1
"124";"2011";10;"BY5";1
"125";"2011";11;"BY15";1
"126";"2011";11;"BY5";1
"127";"2012";3;"BY15";1
"128";"2012";3;"BY31";2
"129";"2012";4;"BY31";4
"130";"2012";5;"BY31";2
"131";"2012";5;"BY5";1
"132";"2012";6;"BY31";2
"133";"2012";7;"BY15";1
"134";"2012";7;"BY31";2
"135";"2012";7;"BY5";1
"136";"2012";8;"BY15";1
"137";"2012";8;"BY31";3
"138";"2012";8;"BY5";1
"139";"2012";9;"BY31";2
"140";"2012";10;"BY31";1
"141";"2012";10;"BY5";1
"142";"2012";11;"BY31";1
"143";"2012";12;"BY31";1
"144";"2012";12;"BY5";1
"145";"2013";2;"BY31";2
"146";"2013";2;"BY5";1
"147";"2013";3;"BY31";2
"148";"2013";4;"BY15";1
"149";"2013";4;"BY31";4
"150";"2013";4;"BY5";1
"151";"2013";5;"BY15";1
"152";"2013";5;"BY31";2
"153";"2013";5;"BY5";1
"154";"2013";6;"BY15";1
"155";"2013";6;"BY31";2
"156";"2013";6;"BY5";1
"157";"2013";7;"BY15";1
"158";"2013";7;"BY31";3
"159";"2013";8;"BY15";1
"160";"2013";8;"BY31";2
"161";"2013";8;"BY5";1
"162";"2013";9;"BY15";1
"163";"2013";9;"BY31";1
"164";"2013";9;"BY5";1
"165";"2013";10;"BY15";1
"166";"2013";10;"BY31";1
"167";"2013";10;"BY5";1
"168";"2013";11;"BY15";1
"169";"2013";11;"BY31";1
"170";"2013";12;"BY5";1
"171";"2014";2;"BY31";2
"172";"2014";2;"BY5";1
"173";"2014";3;"BY15";2
"174";"2014";3;"BY31";3
"175";"2014";3;"BY5";2
"176";"2014";4;"BY15";1
"177";"2014";4;"BY31";4
"178";"2014";4;"BY5";1
"179";"2014";5;"BY31";2
"180";"2014";6;"BY15";1
"181";"2014";6;"BY31";2
"182";"2014";6;"BY5";1
"183";"2014";7;"BY15";1
"184";"2014";7;"BY31";3
"185";"2014";7;"BY5";1
"186";"2014";8;"BY15";1
"187";"2014";8;"BY31";2
"188";"2014";8;"BY5";1
"189";"2014";9;"BY15";1
"190";"2014";9;"BY31";2
"191";"2014";9;"BY5";1
"192";"2014";10;"BY15";1
"193";"2014";10;"BY31";2
"194";"2014";10;"BY5";1
"195";"2014";11;"BY31";1
"196";"2015";1;"BY15";1
"197";"2015";2;"BY15";1
"198";"2015";2;"BY31";1
"199";"2015";2;"BY5";1
"200";"2015";3;"BY15";1
"201";"2015";3;"BY31";3
"202";"2015";3;"BY5";1
"203";"2015";4;"BY31";4
"204";"2015";4;"BY5";1
"205";"2015";5;"BY31";2
"206";"2015";6;"BY15";1
"207";"2015";6;"BY31";3
"208";"2015";6;"BY5";1
"209";"2015";7;"BY15";1
"210";"2015";7;"BY31";2
"211";"2015";7;"BY5";1
"212";"2015";8;"BY31";2
"213";"2015";9;"BY15";1
"214";"2015";9;"BY31";2
"215";"2015";9;"BY5";1
"216";"2015";10;"BY15";1
"217";"2015";10;"BY31";2
"218";"2015";10;"BY5";1
"219";"2015";11;"BY15";1
"220";"2015";11;"BY31";1
"221";"2015";11;"BY5";1
"222";"2015";12;"BY15";1
"223";"2015";12;"BY31";1
"224";"2015";12;"BY5";1
"225";"2016";1;"BY15";1
"226";"2016";1;"BY31";1
"227";"2016";1;"BY5";1
"228";"2016";2;"BY15";1
"229";"2016";2;"BY31";1
"230";"2016";2;"BY5";1
"231";"2016";3;"BY15";1
"232";"2016";3;"BY31";2
"233";"2016";3;"BY5";1
"234";"2016";4;"BY15";1
"235";"2016";4;"BY31";4
"236";"2016";4;"BY5";1
"237";"2016";5;"BY15";1
"238";"2016";5;"BY31";3
"239";"2016";5;"BY5";1
"240";"2016";6;"BY15";1
"241";"2016";6;"BY31";2
"242";"2016";6;"BY5";1
"243";"2016";7;"BY15";1
"244";"2016";7;"BY31";2
"245";"2016";7;"BY5";1
"246";"2016";8;"BY15";1
"247";"2016";8;"BY31";3
"248";"2016";8;"BY5";1
"249";"2016";9;"BY15";1
"250";"2016";9;"BY31";2
"251";"2016";9;"BY5";1
"252";"2016";10;"BY15";1
"253";"2016";10;"BY31";1
"254";"2016";10;"BY5";1
"255";"2016";11;"BY15";1
"256";"2016";11;"BY31";1
"257";"2016";11;"BY5";1
"258";"2016";12;"BY31";1
"259";"2017";1;"BY15";1
"260";"2017";1;"BY31";1
"261";"2017";1;"BY5";1
"262";"2017";2;"BY15";1
"263";"2017";2;"BY31";1
"264";"2017";3;"BY31";2
"265";"2017";3;"BY5";1
"266";"2017";4;"BY15";1
"267";"2017";4;"BY31";2
"268";"2017";4;"BY5";1
"269";"2017";5;"BY15";1
"270";"2017";5;"BY31";3
"271";"2017";5;"BY5";1
"272";"2017";6;"BY15";1
"273";"2017";6;"BY31";2
"274";"2017";6;"BY5";1
"275";"2017";7;"BY15";1
"276";"2017";7;"BY31";3
"277";"2017";7;"BY5";1
"278";"2017";8;"BY31";2
"279";"2017";9;"BY31";2
"280";"2017";9;"BY5";1
"281";"2017";11;"BY15";1
"282";"2017";11;"BY31";2
"283";"2017";11;"BY5";1
"284";"2017";12;"BY15";1
"285";"2017";12;"BY31";1
"286";"2018";1;"BY5";1
"287";"2018";3;"BY31";3
"288";"2018";4;"BY15";1
"289";"2018";4;"BY31";3
"290";"2018";4;"BY5";1
"291";"2018";5;"BY15";1
"292";"2018";5;"BY31";2
"293";"2018";5;"BY5";1
"294";"2018";6;"BY31";2
"295";"2018";7;"BY31";3
"296";"2018";8;"BY31";2
"297";"2018";9;"BY31";2
"298";"2018";10;"BY15";1
"299";"2018";10;"BY31";1
"300";"2018";10;"BY5";1
"301";"2018";11;"BY15";1
"302";"2018";11;"BY31";1
"303";"2018";11;"BY5";1
"304";"2018";12;"BY31";1
"305";"2018";12;"BY5";1
"306";"2019";1;"BY31";1
"307";"2019";1;"BY5";1
"308";"2019";2;"BY15";1
"309";"2019";2;"BY31";1
"310";"2019";2;"BY5";1
"311";"2019";3;"BY15";1
"312";"2019";3;"BY31";2
"313";"2019";3;"BY5";1
"314";"2019";4;"BY15";1
"315";"2019";4;"BY31";3
"316";"2019";4;"BY5";1
"317";"2019";5;"BY15";1
"318";"2019";5;"BY31";2
"319";"2019";5;"BY5";1
"320";"2019";6;"BY15";1
"321";"2019";6;"BY31";2
"322";"2019";6;"BY5";1
"323";"2019";7;"BY15";1
"324";"2019";7;"BY31";2
"325";"2019";7;"BY5";1
"326";"2019";8;"BY15";1
"327";"2019";8;"BY31";2
"328";"2019";8;"BY5";1
"329";"2019";9;"BY31";2
"330";"2019";10;"BY15";1
"331";"2019";10;"BY31";1
"332";"2019";10;"BY5";1
"333";"2019";11;"BY15";1
"334";"2019";11;"BY5";1
"335";"2019";12;"BY15";1
"336";"2019";12;"BY5";1
"337";"2020";1;"BY15";1
"338";"2020";1;"BY5";1
"339";"2020";2;"BY5";1
"340";"2020";3;"BY31";2
"341";"2020";4;"BY15";1
"342";"2020";4;"BY31";4
"343";"2020";4;"BY5";1
"344";"2020";5;"BY15";1
"345";"2020";5;"BY31";3
"346";"2020";5;"BY5";1
"347";"2020";6;"BY15";1
"348";"2020";6;"BY31";2
"349";"2020";6;"BY5";1
"350";"2020";7;"BY15";1
"351";"2020";7;"BY31";3
"352";"2020";7;"BY5";1
"353";"2020";8;"BY15";1
"354";"2020";8;"BY31";2
"355";"2020";8;"BY5";1
"356";"2020";9;"BY15";1
"357";"2020";9;"BY31";2
"358";"2020";9;"BY5";1
"359";"2020";10;"BY31";1
"360";"2020";10;"BY5";1
"361";"2020";11;"BY15";1
"362";"2020";11;"BY31";1
"363";"2020";11;"BY5";1
"364";"2020";12;"BY15";1
"365";"2020";12;"BY5";1
"366";"2021";1;"BY31";1
"367";"2021";2;"BY31";1
"368";"2021";2;"BY5";1
"369";"2021";3;"BY31";4
"370";"2021";3;"BY5";1
"371";"2021";4;"BY15";1
"372";"2021";4;"BY31";4
"373";"2021";4;"BY5";1
"374";"2021";5;"BY15";1
"375";"2021";5;"BY31";2
"376";"2021";5;"BY5";1
"377";"2021";6;"BY15";1
"378";"2021";6;"BY31";2
"379";"2021";6;"BY5";1
"380";"2021";7;"BY15";1
"381";"2021";7;"BY31";2
"382";"2021";7;"BY5";1
"383";"2021";8;"BY15";1
"384";"2021";8;"BY31";2
"385";"2021";8;"BY5";1
"386";"2021";9;"BY31";1
"387";"2021";10;"BY15";1
"388";"2021";10;"BY31";1
"389";"2021";11;"BY31";1
"390";"2021";11;"BY5";1
"391";"2021";12;"BY15";1
"392";"2021";12;"BY31";1
"393";"2021";12;"BY5";1
"394";"2022";2;"BY31";1
"395";"2022";2;"BY5";1
"396";"2022";3;"BY15";1
"397";"2022";3;"BY31";2
"398";"2022";3;"BY5";1
"399";"2022";4;"BY15";1
"400";"2022";4;"BY31";4
"401";"2022";4;"BY5";1
"402";"2022";5;"BY15";1
"403";"2022";5;"BY31";2
"404";"2022";5;"BY5";1
"405";"2022";6;"BY15";1
"406";"2022";6;"BY31";2
"407";"2022";6;"BY5";1
"408";"2022";7;"BY15";1
"409";"2022";7;"BY31";2
"410";"2022";8;"BY15";1
"411";"2022";8;"BY31";2
"412";"2022";8;"BY5";1
"413";"2022";9;"BY31";2
"414";"2022";9;"BY5";1
"415";"2022";10;"BY15";1
"416";"2022";10;"BY31";2
"417";"2022";10;"BY5";1
"418";"2022";11;"BY15";1
"419";"2022";11;"BY31";1
"420";"2022";11;"BY5";1
"421";"2022";12;"BY31";1
