"year";"month";"Station";"n"
"111";2010;"03";"BY15";1
"112";2010;"03";"BY31";2
"113";2010;"03";"BY5";1
"114";2010;"04";"BY15";1
"115";2010;"04";"BY31";3
"116";2010;"04";"BY5";1
"117";2010;"05";"BY15";1
"118";2010;"05";"BY31";2
"119";2010;"05";"BY5";1
"120";2010;"06";"BY15";1
"121";2010;"06";"BY31";2
"122";2010;"06";"BY5";2
"123";2010;"07";"BY15";2
"124";2010;"07";"BY31";2
"125";2010;"07";"BY5";1
"126";2010;"08";"BY15";1
"127";2010;"08";"BY31";2
"128";2010;"08";"BY5";1
"129";2010;"09";"BY15";1
"130";2010;"09";"BY31";4
"131";2010;"09";"BY5";1
"132";2010;"10";"BY15";1
"133";2010;"10";"BY31";2
"134";2010;"10";"BY5";1
"135";2010;"11";"BY15";1
"136";2010;"11";"BY31";2
"137";2010;"11";"BY5";1
"138";2010;"12";"BY15";1
"139";2010;"12";"BY5";1
"140";2011;"01";"BY15";1
"141";2011;"01";"BY31";1
"142";2011;"01";"BY5";1
"143";2011;"03";"BY31";2
"144";2011;"04";"BY15";1
"145";2011;"04";"BY31";3
"146";2011;"04";"BY5";1
"147";2011;"05";"BY31";2
"148";2011;"06";"BY15";1
"149";2011;"06";"BY31";2
"150";2011;"06";"BY5";1
"151";2011;"07";"BY15";1
"152";2011;"07";"BY31";2
"153";2011;"07";"BY5";1
"154";2011;"08";"BY15";1
"155";2011;"08";"BY31";2
"156";2011;"08";"BY5";1
"157";2011;"09";"BY15";1
"158";2011;"09";"BY31";2
"159";2011;"09";"BY5";1
"160";2011;"10";"BY15";1
"161";2011;"10";"BY31";1
"162";2011;"10";"BY5";1
"163";2011;"11";"BY15";1
"164";2011;"11";"BY31";1
"165";2011;"11";"BY5";1
"166";2011;"12";"BY15";1
"167";2011;"12";"BY31";1
"168";2011;"12";"BY5";1
"169";2012;"01";"BY15";1
"170";2012;"01";"BY5";1
"171";2012;"03";"BY15";1
"172";2012;"03";"BY31";3
"173";2012;"04";"BY31";4
"174";2012;"05";"BY31";3
"175";2012;"05";"BY5";1
"176";2012;"06";"BY31";2
"177";2012;"07";"BY15";1
"178";2012;"07";"BY31";2
"179";2012;"07";"BY5";1
"180";2012;"08";"BY15";1
"181";2012;"08";"BY31";3
"182";2012;"08";"BY5";1
"183";2012;"09";"BY31";2
"184";2012;"09";"BY5";1
"185";2012;"10";"BY31";1
"186";2012;"10";"BY5";1
"187";2012;"11";"BY31";1
"188";2012;"12";"BY31";1
"189";2012;"12";"BY5";1
"190";2013;"01";"BY5";1
"191";2013;"02";"BY31";2
"192";2013;"02";"BY5";1
"193";2013;"03";"BY31";2
"194";2013;"03";"BY5";1
"195";2013;"04";"BY15";1
"196";2013;"04";"BY31";4
"197";2013;"04";"BY5";1
"198";2013;"05";"BY15";1
"199";2013;"05";"BY31";2
"200";2013;"05";"BY5";1
"201";2013;"06";"BY15";1
"202";2013;"06";"BY31";2
"203";2013;"06";"BY5";1
"204";2013;"07";"BY15";1
"205";2013;"07";"BY31";3
"206";2013;"08";"BY15";1
"207";2013;"08";"BY31";2
"208";2013;"08";"BY5";2
"209";2013;"09";"BY15";1
"210";2013;"09";"BY31";2
"211";2013;"09";"BY5";1
"212";2013;"10";"BY15";1
"213";2013;"10";"BY31";1
"214";2013;"10";"BY5";1
"215";2013;"11";"BY15";1
"216";2013;"11";"BY31";2
"217";2013;"11";"BY5";1
"218";2013;"12";"BY15";1
"219";2013;"12";"BY5";1
"220";2014;"02";"BY15";1
"221";2014;"02";"BY31";2
"222";2014;"02";"BY5";1
"223";2014;"03";"BY15";2
"224";2014;"03";"BY31";3
"225";2014;"03";"BY5";2
"226";2014;"04";"BY15";1
"227";2014;"04";"BY31";4
"228";2014;"04";"BY5";1
"229";2014;"05";"BY31";2
"230";2014;"06";"BY15";1
"231";2014;"06";"BY31";2
"232";2014;"06";"BY5";1
"233";2014;"07";"BY15";1
"234";2014;"07";"BY31";2
"235";2014;"07";"BY5";1
"236";2014;"08";"BY15";1
"237";2014;"08";"BY31";2
"238";2014;"08";"BY5";1
"239";2014;"09";"BY15";1
"240";2014;"09";"BY31";2
"241";2014;"09";"BY5";1
"242";2014;"10";"BY15";1
"243";2014;"10";"BY31";2
"244";2014;"10";"BY5";1
"245";2014;"11";"BY15";1
"246";2014;"11";"BY31";1
"247";2014;"11";"BY5";1
"248";2014;"12";"BY15";1
"249";2014;"12";"BY31";1
"250";2014;"12";"BY5";1
"251";2015;"01";"BY15";1
"252";2015;"01";"BY31";1
"253";2015;"02";"BY15";1
"254";2015;"02";"BY31";1
"255";2015;"02";"BY5";1
"256";2015;"03";"BY15";1
"257";2015;"03";"BY31";2
"258";2015;"03";"BY5";1
"259";2015;"04";"BY31";4
"260";2015;"04";"BY5";1
"261";2015;"05";"BY31";2
"262";2015;"06";"BY15";1
"263";2015;"06";"BY31";3
"264";2015;"06";"BY5";1
"265";2015;"07";"BY15";1
"266";2015;"07";"BY31";2
"267";2015;"07";"BY5";1
"268";2015;"08";"BY31";2
"269";2015;"09";"BY15";1
"270";2015;"09";"BY31";2
"271";2015;"09";"BY5";1
"272";2015;"10";"BY15";1
"273";2015;"10";"BY31";2
"274";2015;"10";"BY5";1
"275";2015;"11";"BY15";1
"276";2015;"11";"BY31";1
"277";2015;"11";"BY5";1
"278";2015;"12";"BY15";1
"279";2015;"12";"BY31";1
"280";2015;"12";"BY5";1
"281";2016;"01";"BY15";1
"282";2016;"01";"BY31";1
"283";2016;"01";"BY5";1
"284";2016;"02";"BY15";1
"285";2016;"02";"BY31";1
"286";2016;"02";"BY5";1
"287";2016;"03";"BY15";1
"288";2016;"03";"BY31";2
"289";2016;"03";"BY5";1
"290";2016;"04";"BY15";1
"291";2016;"04";"BY31";4
"292";2016;"04";"BY5";1
"293";2016;"05";"BY15";1
"294";2016;"05";"BY31";3
"295";2016;"05";"BY5";1
"296";2016;"06";"BY31";2
"297";2016;"06";"BY5";1
"298";2016;"07";"BY15";1
"299";2016;"07";"BY31";2
"300";2016;"07";"BY5";1
"301";2016;"08";"BY15";1
"302";2016;"08";"BY31";3
"303";2016;"08";"BY5";1
"304";2016;"09";"BY15";1
"305";2016;"09";"BY31";2
"306";2016;"09";"BY5";1
"307";2016;"10";"BY15";1
"308";2016;"10";"BY31";1
"309";2016;"10";"BY5";1
"310";2016;"11";"BY15";1
"311";2016;"11";"BY31";1
"312";2016;"11";"BY5";1
"313";2016;"12";"BY15";1
"314";2016;"12";"BY31";1
"315";2016;"12";"BY5";1
"316";2017;"01";"BY15";1
"317";2017;"01";"BY31";1
"318";2017;"01";"BY5";1
"319";2017;"02";"BY15";1
"320";2017;"02";"BY31";1
"321";2017;"02";"BY5";1
"322";2017;"03";"BY15";1
"323";2017;"03";"BY31";4
"324";2017;"03";"BY5";1
"325";2017;"04";"BY15";1
"326";2017;"04";"BY31";2
"327";2017;"04";"BY5";1
"328";2017;"05";"BY15";1
"329";2017;"05";"BY31";3
"330";2017;"05";"BY5";1
"331";2017;"06";"BY15";1
"332";2017;"06";"BY31";2
"333";2017;"06";"BY5";1
"334";2017;"07";"BY15";1
"335";2017;"07";"BY31";3
"336";2017;"07";"BY5";1
"337";2017;"08";"BY31";2
"338";2017;"09";"BY15";1
"339";2017;"09";"BY31";2
"340";2017;"09";"BY5";1
"341";2017;"10";"BY5";1
"342";2017;"11";"BY15";1
"343";2017;"11";"BY31";2
"344";2017;"11";"BY5";1
"345";2017;"12";"BY15";1
"346";2017;"12";"BY31";1
"347";2017;"12";"BY5";1
"348";2018;"01";"BY15";1
"349";2018;"01";"BY31";1
"350";2018;"01";"BY5";1
"351";2018;"03";"BY31";3
"352";2018;"03";"BY5";1
"353";2018;"04";"BY15";1
"354";2018;"04";"BY31";3
"355";2018;"04";"BY5";1
"356";2018;"05";"BY15";1
"357";2018;"05";"BY31";2
"358";2018;"05";"BY5";1
"359";2018;"06";"BY31";2
"360";2018;"07";"BY31";3
"361";2018;"08";"BY31";2
"362";2018;"09";"BY15";1
"363";2018;"09";"BY31";2
"364";2018;"09";"BY5";1
"365";2018;"10";"BY15";1
"366";2018;"10";"BY31";1
"367";2018;"10";"BY5";1
"368";2018;"11";"BY15";1
"369";2018;"11";"BY31";1
"370";2018;"11";"BY5";1
"371";2018;"12";"BY15";1
"372";2018;"12";"BY31";1
"373";2018;"12";"BY5";1
"374";2019;"01";"BY15";1
"375";2019;"01";"BY31";1
"376";2019;"01";"BY5";1
"377";2019;"02";"BY15";1
"378";2019;"02";"BY31";1
"379";2019;"02";"BY5";1
"380";2019;"03";"BY15";1
"381";2019;"03";"BY31";2
"382";2019;"03";"BY5";1
"383";2019;"04";"BY15";1
"384";2019;"04";"BY31";4
"385";2019;"04";"BY5";1
"386";2019;"05";"BY15";1
"387";2019;"05";"BY31";2
"388";2019;"05";"BY5";1
"389";2019;"06";"BY15";1
"390";2019;"06";"BY31";2
"391";2019;"06";"BY5";1
"392";2019;"07";"BY15";1
"393";2019;"07";"BY31";3
"394";2019;"07";"BY5";1
"395";2019;"08";"BY15";1
"396";2019;"08";"BY31";2
"397";2019;"08";"BY5";1
"398";2019;"09";"BY15";1
"399";2019;"09";"BY31";2
"400";2019;"09";"BY5";1
"401";2019;"10";"BY15";1
"402";2019;"10";"BY31";1
"403";2019;"10";"BY5";1
"404";2019;"11";"BY15";1
"405";2019;"11";"BY31";1
"406";2019;"11";"BY5";1
"407";2019;"12";"BY15";1
"408";2019;"12";"BY31";1
"409";2019;"12";"BY5";1
"410";2020;"01";"BY15";1
"411";2020;"01";"BY5";1
"412";2020;"02";"BY15";1
"413";2020;"02";"BY5";1
"414";2020;"03";"BY15";1
"415";2020;"03";"BY31";3
"416";2020;"03";"BY5";1
"417";2020;"04";"BY15";1
"418";2020;"04";"BY31";4
"419";2020;"04";"BY5";1
"420";2020;"05";"BY15";1
"421";2020;"05";"BY31";3
"422";2020;"05";"BY5";1
"423";2020;"06";"BY15";1
"424";2020;"06";"BY31";2
"425";2020;"06";"BY5";1
"426";2020;"07";"BY15";1
"427";2020;"07";"BY31";3
"428";2020;"07";"BY5";1
"429";2020;"08";"BY15";1
"430";2020;"08";"BY31";2
"431";2020;"08";"BY5";1
"432";2020;"09";"BY15";1
"433";2020;"09";"BY31";2
"434";2020;"09";"BY5";1
"435";2020;"10";"BY15";1
"436";2020;"10";"BY31";1
"437";2020;"10";"BY5";1
"438";2020;"11";"BY15";1
"439";2020;"11";"BY31";1
"440";2020;"11";"BY5";1
"441";2020;"12";"BY15";1
"442";2020;"12";"BY31";1
"443";2020;"12";"BY5";1
"444";2021;"01";"BY15";1
"445";2021;"01";"BY31";1
"446";2021;"01";"BY5";1
"447";2021;"02";"BY15";1
"448";2021;"02";"BY31";1
"449";2021;"02";"BY5";1
"450";2021;"03";"BY15";1
"451";2021;"03";"BY31";4
"452";2021;"03";"BY5";1
"453";2021;"04";"BY15";1
"454";2021;"04";"BY31";4
"455";2021;"04";"BY5";1
"456";2021;"05";"BY15";1
"457";2021;"05";"BY31";2
"458";2021;"05";"BY5";1
"459";2021;"06";"BY15";1
"460";2021;"06";"BY31";2
"461";2021;"06";"BY5";1
"462";2021;"07";"BY15";1
"463";2021;"07";"BY31";2
"464";2021;"07";"BY5";1
"465";2021;"08";"BY15";1
"466";2021;"08";"BY31";3
"467";2021;"08";"BY5";1
"468";2021;"09";"BY15";1
"469";2021;"09";"BY31";1
"470";2021;"09";"BY5";1
"471";2021;"10";"BY15";1
"472";2021;"10";"BY31";1
"473";2021;"10";"BY5";1
"474";2021;"11";"BY15";1
"475";2021;"11";"BY31";1
"476";2021;"11";"BY5";1
"477";2021;"12";"BY15";1
"478";2021;"12";"BY31";1
"479";2021;"12";"BY5";1
"480";2022;"02";"BY15";1
"481";2022;"02";"BY31";1
"482";2022;"02";"BY5";1
"483";2022;"03";"BY15";1
"484";2022;"03";"BY31";3
"485";2022;"03";"BY5";1
"486";2022;"04";"BY15";1
"487";2022;"04";"BY31";4
"488";2022;"04";"BY5";1
"489";2022;"05";"BY15";1
"490";2022;"05";"BY31";2
"491";2022;"05";"BY5";1
"492";2022;"06";"BY15";1
"493";2022;"06";"BY31";2
"494";2022;"06";"BY5";1
"495";2022;"07";"BY15";1
"496";2022;"07";"BY31";2
"497";2022;"07";"BY5";1
"498";2022;"08";"BY15";1
"499";2022;"08";"BY31";2
"500";2022;"08";"BY5";1
"501";2022;"09";"BY15";1
"502";2022;"09";"BY31";2
"503";2022;"09";"BY5";1
"504";2022;"10";"BY15";1
"505";2022;"10";"BY31";2
"506";2022;"10";"BY5";1
"507";2022;"11";"BY15";1
"508";2022;"11";"BY31";1
"509";2022;"11";"BY5";1
"510";2022;"12";"BY31";1
"511";2022;"12";"BY5";1
