"DOY";"Taxa";"Station"
"345";36;"Total";"BY15"
"346";36;"Total";"BY15"
"347";36;"Total";"BY15"
"348";36;"Total";"BY15"
"349";36;"Total";"BY15"
"350";37;"Total";"BY15"
"351";37;"Total";"BY15"
"352";37;"Total";"BY15"
"353";37;"Total";"BY15"
"354";37;"Total";"BY15"
"355";37;"Total";"BY15"
"356";37;"Total";"BY15"
"357";37;"Total";"BY15"
"358";37;"Total";"BY15"
"359";37;"Total";"BY15"
"360";37;"Total";"BY15"
"361";38;"Total";"BY15"
"362";38;"Total";"BY15"
"363";38;"Total";"BY15"
"364";38;"Total";"BY15"
"365";38;"Total";"BY15"
"366";38;"Total";"BY15"
"367";38;"Total";"BY15"
"368";38;"Total";"BY15"
"369";38;"Total";"BY15"
"370";38;"Total";"BY15"
"371";38;"Total";"BY15"
"372";39;"Total";"BY15"
"373";39;"Total";"BY15"
"374";39;"Total";"BY15"
"375";39;"Total";"BY15"
"376";39;"Total";"BY15"
"377";39;"Total";"BY15"
"378";39;"Total";"BY15"
"379";39;"Total";"BY15"
"380";39;"Total";"BY15"
"381";39;"Total";"BY15"
"382";39;"Total";"BY15"
"383";40;"Total";"BY15"
"384";40;"Total";"BY15"
"385";40;"Total";"BY15"
"386";40;"Total";"BY15"
"387";40;"Total";"BY15"
"388";40;"Total";"BY15"
"389";40;"Total";"BY15"
"390";40;"Total";"BY15"
"391";40;"Total";"BY15"
"392";40;"Total";"BY15"
"393";40;"Total";"BY15"
"394";40;"Total";"BY15"
"395";41;"Total";"BY15"
"396";41;"Total";"BY15"
"397";41;"Total";"BY15"
"398";41;"Total";"BY15"
"399";41;"Total";"BY15"
"400";41;"Total";"BY15"
"401";41;"Total";"BY15"
"402";41;"Total";"BY15"
"403";41;"Total";"BY15"
"404";41;"Total";"BY15"
"405";41;"Total";"BY15"
"406";41;"Total";"BY15"
"407";42;"Total";"BY15"
"408";42;"Total";"BY15"
"409";42;"Total";"BY15"
"410";42;"Total";"BY15"
"411";42;"Total";"BY15"
"412";42;"Total";"BY15"
"413";42;"Total";"BY15"
"414";42;"Total";"BY15"
"415";42;"Total";"BY15"
"416";42;"Total";"BY15"
"417";42;"Total";"BY15"
"418";42;"Total";"BY15"
"419";43;"Total";"BY15"
"420";43;"Total";"BY15"
"421";43;"Total";"BY15"
"422";43;"Total";"BY15"
"423";43;"Total";"BY15"
"424";43;"Total";"BY15"
"425";43;"Total";"BY15"
"426";43;"Total";"BY15"
"427";43;"Total";"BY15"
"428";43;"Total";"BY15"
"429";43;"Total";"BY15"
"430";43;"Total";"BY15"
"431";44;"Total";"BY15"
"432";44;"Total";"BY15"
"433";44;"Total";"BY15"
"434";44;"Total";"BY15"
"435";44;"Total";"BY15"
"436";44;"Total";"BY15"
"437";44;"Total";"BY15"
"438";44;"Total";"BY15"
"439";44;"Total";"BY15"
"440";44;"Total";"BY15"
"441";44;"Total";"BY15"
"442";44;"Total";"BY15"
"443";44;"Total";"BY15"
"444";45;"Total";"BY15"
"445";45;"Total";"BY15"
"446";45;"Total";"BY15"
"447";45;"Total";"BY15"
"448";45;"Total";"BY15"
"449";45;"Total";"BY15"
"450";45;"Total";"BY15"
"451";45;"Total";"BY15"
"452";45;"Total";"BY15"
"453";45;"Total";"BY15"
"454";45;"Total";"BY15"
"455";45;"Total";"BY15"
"456";45;"Total";"BY15"
"457";45;"Total";"BY15"
"458";46;"Total";"BY15"
"459";46;"Total";"BY15"
"460";46;"Total";"BY15"
"461";46;"Total";"BY15"
"462";46;"Total";"BY15"
"463";46;"Total";"BY15"
"464";46;"Total";"BY15"
"465";46;"Total";"BY15"
"466";46;"Total";"BY15"
"467";46;"Total";"BY15"
"468";46;"Total";"BY15"
"469";46;"Total";"BY15"
"470";46;"Total";"BY15"
"471";46;"Total";"BY15"
"472";47;"Total";"BY15"
"473";47;"Total";"BY15"
"474";47;"Total";"BY15"
"475";47;"Total";"BY15"
"476";47;"Total";"BY15"
"477";47;"Total";"BY15"
"478";47;"Total";"BY15"
"479";47;"Total";"BY15"
"480";47;"Total";"BY15"
"481";47;"Total";"BY15"
"482";47;"Total";"BY15"
"483";47;"Total";"BY15"
"484";47;"Total";"BY15"
"485";47;"Total";"BY15"
"486";47;"Total";"BY15"
"487";48;"Total";"BY15"
"488";48;"Total";"BY15"
"489";48;"Total";"BY15"
"490";48;"Total";"BY15"
"491";48;"Total";"BY15"
"492";48;"Total";"BY15"
"493";48;"Total";"BY15"
"494";48;"Total";"BY15"
"495";48;"Total";"BY15"
"496";48;"Total";"BY15"
"497";48;"Total";"BY15"
"498";48;"Total";"BY15"
"499";48;"Total";"BY15"
"500";48;"Total";"BY15"
"501";48;"Total";"BY15"
"502";48;"Total";"BY15"
"503";49;"Total";"BY15"
"504";49;"Total";"BY15"
"505";49;"Total";"BY15"
"506";49;"Total";"BY15"
"507";49;"Total";"BY15"
"508";49;"Total";"BY15"
"509";49;"Total";"BY15"
"510";49;"Total";"BY15"
"511";49;"Total";"BY15"
"512";49;"Total";"BY15"
"513";49;"Total";"BY15"
"514";49;"Total";"BY15"
"515";49;"Total";"BY15"
"516";49;"Total";"BY15"
"517";49;"Total";"BY15"
"518";49;"Total";"BY15"
"519";50;"Total";"BY15"
"520";50;"Total";"BY15"
"521";50;"Total";"BY15"
"522";50;"Total";"BY15"
"523";50;"Total";"BY15"
"524";50;"Total";"BY15"
"525";50;"Total";"BY15"
"526";50;"Total";"BY15"
"527";50;"Total";"BY15"
"528";50;"Total";"BY15"
"529";50;"Total";"BY15"
"530";50;"Total";"BY15"
"531";50;"Total";"BY15"
"532";50;"Total";"BY15"
"533";50;"Total";"BY15"
"534";50;"Total";"BY15"
"535";50;"Total";"BY15"
"536";51;"Total";"BY15"
"537";51;"Total";"BY15"
"538";51;"Total";"BY15"
"539";51;"Total";"BY15"
"540";51;"Total";"BY15"
"541";51;"Total";"BY15"
"542";51;"Total";"BY15"
"543";51;"Total";"BY15"
"544";51;"Total";"BY15"
"545";51;"Total";"BY15"
"546";51;"Total";"BY15"
"547";51;"Total";"BY15"
"548";51;"Total";"BY15"
"549";51;"Total";"BY15"
"550";51;"Total";"BY15"
"551";51;"Total";"BY15"
"552";51;"Total";"BY15"
"553";51;"Total";"BY15"
"554";52;"Total";"BY15"
"555";52;"Total";"BY15"
"556";52;"Total";"BY15"
"557";52;"Total";"BY15"
"558";52;"Total";"BY15"
"559";52;"Total";"BY15"
"560";52;"Total";"BY15"
"561";52;"Total";"BY15"
"562";52;"Total";"BY15"
"563";52;"Total";"BY15"
"564";52;"Total";"BY15"
"565";52;"Total";"BY15"
"566";52;"Total";"BY15"
"567";52;"Total";"BY15"
"568";52;"Total";"BY15"
"569";52;"Total";"BY15"
"570";52;"Total";"BY15"
"571";52;"Total";"BY15"
"572";53;"Total";"BY15"
"573";53;"Total";"BY15"
"574";53;"Total";"BY15"
"575";53;"Total";"BY15"
"576";53;"Total";"BY15"
"577";53;"Total";"BY15"
"578";53;"Total";"BY15"
"579";53;"Total";"BY15"
"580";53;"Total";"BY15"
"581";53;"Total";"BY15"
"582";53;"Total";"BY15"
"583";53;"Total";"BY15"
"584";53;"Total";"BY15"
"585";53;"Total";"BY15"
"586";53;"Total";"BY15"
"587";53;"Total";"BY15"
"588";53;"Total";"BY15"
"589";53;"Total";"BY15"
"590";53;"Total";"BY15"
"591";54;"Total";"BY15"
"592";54;"Total";"BY15"
"593";54;"Total";"BY15"
"594";54;"Total";"BY15"
"595";54;"Total";"BY15"
"596";54;"Total";"BY15"
"597";54;"Total";"BY15"
"598";54;"Total";"BY15"
"599";54;"Total";"BY15"
"600";54;"Total";"BY15"
"601";54;"Total";"BY15"
"602";54;"Total";"BY15"
"603";54;"Total";"BY15"
"604";54;"Total";"BY15"
"605";54;"Total";"BY15"
"606";54;"Total";"BY15"
"607";54;"Total";"BY15"
"608";54;"Total";"BY15"
"609";54;"Total";"BY15"
"610";54;"Total";"BY15"
"611";55;"Total";"BY15"
"612";55;"Total";"BY15"
"613";55;"Total";"BY15"
"614";55;"Total";"BY15"
"615";55;"Total";"BY15"
"616";55;"Total";"BY15"
"617";55;"Total";"BY15"
"618";55;"Total";"BY15"
"619";55;"Total";"BY15"
"620";55;"Total";"BY15"
"621";55;"Total";"BY15"
"622";55;"Total";"BY15"
"623";55;"Total";"BY15"
"624";55;"Total";"BY15"
"625";55;"Total";"BY15"
"626";55;"Total";"BY15"
"627";55;"Total";"BY15"
"628";55;"Total";"BY15"
"629";55;"Total";"BY15"
"630";55;"Total";"BY15"
"631";55;"Total";"BY15"
"632";56;"Total";"BY15"
"633";56;"Total";"BY15"
"634";56;"Total";"BY15"
"635";56;"Total";"BY15"
"636";56;"Total";"BY15"
"637";56;"Total";"BY15"
"638";56;"Total";"BY15"
"639";56;"Total";"BY15"
"640";56;"Total";"BY15"
"641";56;"Total";"BY15"
"642";56;"Total";"BY15"
"643";56;"Total";"BY15"
"644";56;"Total";"BY15"
"645";56;"Total";"BY15"
"646";56;"Total";"BY15"
"647";56;"Total";"BY15"
"648";56;"Total";"BY15"
"649";56;"Total";"BY15"
"650";56;"Total";"BY15"
"651";56;"Total";"BY15"
"652";56;"Total";"BY15"
"653";56;"Total";"BY15"
"654";57;"Total";"BY15"
"655";57;"Total";"BY15"
"656";57;"Total";"BY15"
"657";57;"Total";"BY15"
"658";57;"Total";"BY15"
"659";57;"Total";"BY15"
"660";57;"Total";"BY15"
"661";57;"Total";"BY15"
"662";57;"Total";"BY15"
"663";57;"Total";"BY15"
"664";57;"Total";"BY15"
"665";57;"Total";"BY15"
"666";57;"Total";"BY15"
"667";57;"Total";"BY15"
"668";57;"Total";"BY15"
"669";57;"Total";"BY15"
"670";57;"Total";"BY15"
"671";57;"Total";"BY15"
"672";57;"Total";"BY15"
"673";57;"Total";"BY15"
"674";57;"Total";"BY15"
"675";57;"Total";"BY15"
"676";57;"Total";"BY15"
"677";57;"Total";"BY15"
"678";58;"Total";"BY15"
"679";58;"Total";"BY15"
"680";58;"Total";"BY15"
"681";58;"Total";"BY15"
"682";58;"Total";"BY15"
"683";58;"Total";"BY15"
"684";58;"Total";"BY15"
"685";58;"Total";"BY15"
"686";58;"Total";"BY15"
"687";58;"Total";"BY15"
"688";58;"Total";"BY15"
"689";58;"Total";"BY15"
"690";58;"Total";"BY15"
"691";58;"Total";"BY15"
"692";58;"Total";"BY15"
"693";58;"Total";"BY15"
"694";58;"Total";"BY15"
"695";58;"Total";"BY15"
"696";58;"Total";"BY15"
"697";58;"Total";"BY15"
"698";58;"Total";"BY15"
"699";58;"Total";"BY15"
"700";58;"Total";"BY15"
"701";58;"Total";"BY15"
"702";58;"Total";"BY15"
"703";59;"Total";"BY15"
"704";59;"Total";"BY15"
"705";59;"Total";"BY15"
"706";59;"Total";"BY15"
"707";59;"Total";"BY15"
"708";59;"Total";"BY15"
"709";59;"Total";"BY15"
"710";59;"Total";"BY15"
"711";59;"Total";"BY15"
"712";59;"Total";"BY15"
"713";59;"Total";"BY15"
"714";59;"Total";"BY15"
"715";59;"Total";"BY15"
"716";59;"Total";"BY15"
"717";59;"Total";"BY15"
"718";59;"Total";"BY15"
"719";59;"Total";"BY15"
"720";59;"Total";"BY15"
"721";59;"Total";"BY15"
"722";59;"Total";"BY15"
"723";59;"Total";"BY15"
"724";59;"Total";"BY15"
"725";59;"Total";"BY15"
"726";59;"Total";"BY15"
"727";59;"Total";"BY15"
"728";59;"Total";"BY15"
"729";60;"Total";"BY15"
"730";60;"Total";"BY15"
"731";60;"Total";"BY15"
"732";60;"Total";"BY15"
"733";60;"Total";"BY15"
"734";60;"Total";"BY15"
"735";60;"Total";"BY15"
"736";60;"Total";"BY15"
"737";60;"Total";"BY15"
"738";60;"Total";"BY15"
"739";60;"Total";"BY15"
"740";60;"Total";"BY15"
"741";60;"Total";"BY15"
"742";60;"Total";"BY15"
"743";60;"Total";"BY15"
"744";60;"Total";"BY15"
"745";60;"Total";"BY15"
"746";60;"Total";"BY15"
"747";60;"Total";"BY15"
"748";60;"Total";"BY15"
"749";60;"Total";"BY15"
"750";60;"Total";"BY15"
"751";60;"Total";"BY15"
"752";60;"Total";"BY15"
"753";60;"Total";"BY15"
"754";60;"Total";"BY15"
"755";60;"Total";"BY15"
"756";61;"Total";"BY15"
"757";61;"Total";"BY15"
"758";61;"Total";"BY15"
"759";61;"Total";"BY15"
"760";61;"Total";"BY15"
"761";61;"Total";"BY15"
"762";61;"Total";"BY15"
"763";61;"Total";"BY15"
"764";61;"Total";"BY15"
"765";61;"Total";"BY15"
"766";61;"Total";"BY15"
"767";61;"Total";"BY15"
"768";61;"Total";"BY15"
"769";61;"Total";"BY15"
"770";61;"Total";"BY15"
"771";61;"Total";"BY15"
"772";61;"Total";"BY15"
"773";61;"Total";"BY15"
"774";61;"Total";"BY15"
"775";61;"Total";"BY15"
"776";61;"Total";"BY15"
"777";61;"Total";"BY15"
"778";61;"Total";"BY15"
"779";61;"Total";"BY15"
"780";61;"Total";"BY15"
"781";61;"Total";"BY15"
"782";61;"Total";"BY15"
"783";61;"Total";"BY15"
"784";61;"Total";"BY15"
"785";62;"Total";"BY15"
"786";62;"Total";"BY15"
"787";62;"Total";"BY15"
"788";62;"Total";"BY15"
"789";62;"Total";"BY15"
"790";62;"Total";"BY15"
"791";62;"Total";"BY15"
"792";62;"Total";"BY15"
"793";62;"Total";"BY15"
"794";62;"Total";"BY15"
"795";62;"Total";"BY15"
"796";62;"Total";"BY15"
"797";62;"Total";"BY15"
"798";62;"Total";"BY15"
"799";62;"Total";"BY15"
"800";62;"Total";"BY15"
"801";62;"Total";"BY15"
"802";62;"Total";"BY15"
"803";62;"Total";"BY15"
"804";62;"Total";"BY15"
"805";62;"Total";"BY15"
"806";62;"Total";"BY15"
"807";62;"Total";"BY15"
"808";62;"Total";"BY15"
"809";62;"Total";"BY15"
"810";62;"Total";"BY15"
"811";62;"Total";"BY15"
"812";62;"Total";"BY15"
"813";62;"Total";"BY15"
"814";62;"Total";"BY15"
"815";63;"Total";"BY15"
"816";63;"Total";"BY15"
"817";63;"Total";"BY15"
"818";63;"Total";"BY15"
"819";63;"Total";"BY15"
"820";63;"Total";"BY15"
"821";63;"Total";"BY15"
"822";63;"Total";"BY15"
"823";63;"Total";"BY15"
"824";63;"Total";"BY15"
"825";63;"Total";"BY15"
"826";63;"Total";"BY15"
"827";63;"Total";"BY15"
"828";63;"Total";"BY15"
"829";63;"Total";"BY15"
"830";63;"Total";"BY15"
"831";63;"Total";"BY15"
"832";63;"Total";"BY15"
"833";63;"Total";"BY15"
"834";63;"Total";"BY15"
"835";63;"Total";"BY15"
"836";63;"Total";"BY15"
"837";63;"Total";"BY15"
"838";63;"Total";"BY15"
"839";63;"Total";"BY15"
"840";63;"Total";"BY15"
"841";63;"Total";"BY15"
"842";63;"Total";"BY15"
"843";63;"Total";"BY15"
"844";63;"Total";"BY15"
"845";63;"Total";"BY15"
"846";64;"Total";"BY15"
"847";64;"Total";"BY15"
"848";64;"Total";"BY15"
"849";64;"Total";"BY15"
"850";64;"Total";"BY15"
"851";64;"Total";"BY15"
"852";64;"Total";"BY15"
"853";64;"Total";"BY15"
"854";64;"Total";"BY15"
"855";64;"Total";"BY15"
"856";64;"Total";"BY15"
"857";64;"Total";"BY15"
"858";64;"Total";"BY15"
"859";64;"Total";"BY15"
"860";64;"Total";"BY15"
"861";64;"Total";"BY15"
"862";64;"Total";"BY15"
"863";64;"Total";"BY15"
"864";64;"Total";"BY15"
"865";64;"Total";"BY15"
"866";64;"Total";"BY15"
"867";64;"Total";"BY15"
"868";64;"Total";"BY15"
"869";64;"Total";"BY15"
"870";64;"Total";"BY15"
"871";64;"Total";"BY15"
"872";64;"Total";"BY15"
"873";64;"Total";"BY15"
"874";64;"Total";"BY15"
"875";64;"Total";"BY15"
"876";64;"Total";"BY15"
"877";64;"Total";"BY15"
"878";65;"Total";"BY15"
"879";65;"Total";"BY15"
"880";65;"Total";"BY15"
"881";65;"Total";"BY15"
"882";65;"Total";"BY15"
"883";65;"Total";"BY15"
"884";65;"Total";"BY15"
"885";65;"Total";"BY15"
"886";65;"Total";"BY15"
"887";65;"Total";"BY15"
"888";65;"Total";"BY15"
"889";65;"Total";"BY15"
"890";65;"Total";"BY15"
"891";65;"Total";"BY15"
"892";65;"Total";"BY15"
"893";65;"Total";"BY15"
"894";65;"Total";"BY15"
"895";65;"Total";"BY15"
"896";65;"Total";"BY15"
"897";65;"Total";"BY15"
"898";65;"Total";"BY15"
"899";65;"Total";"BY15"
"900";65;"Total";"BY15"
"901";65;"Total";"BY15"
"902";65;"Total";"BY15"
"903";65;"Total";"BY15"
"904";65;"Total";"BY15"
"905";65;"Total";"BY15"
"906";65;"Total";"BY15"
"907";65;"Total";"BY15"
"908";65;"Total";"BY15"
"909";65;"Total";"BY15"
"910";65;"Total";"BY15"
"911";66;"Total";"BY15"
"912";66;"Total";"BY15"
"913";66;"Total";"BY15"
"914";66;"Total";"BY15"
"915";66;"Total";"BY15"
"916";66;"Total";"BY15"
"917";66;"Total";"BY15"
"918";66;"Total";"BY15"
"919";66;"Total";"BY15"
"920";66;"Total";"BY15"
"921";66;"Total";"BY15"
"922";66;"Total";"BY15"
"923";66;"Total";"BY15"
"924";66;"Total";"BY15"
"925";66;"Total";"BY15"
"926";66;"Total";"BY15"
"927";66;"Total";"BY15"
"928";66;"Total";"BY15"
"929";66;"Total";"BY15"
"930";66;"Total";"BY15"
"931";66;"Total";"BY15"
